city,median_age
Belvedere Tiburon,50.7
Bolinas,62.6
Brisbane,46.6
Burlingame,40.1
Colma,38.8
Corte Madera,46.5
Daly City,39.9
El Cerrito,42.7
Half Moon Bay,46.8
Hillsborough,47.9
Larkspur,47.6
Mill Valley,48.7
Millbrae,43.9
Oakland,36.9
Pacifica,42.5
Richmond,34
San Bruno,39.3
San Francisco,38.2
San Mateo,38.2
Sausalito,54.9
South San Francisco,40.4
