city,county,population,sq_mi,density_sq_mi
Adelanto,San Bernardino,38046,52.87,719.6
Agoura Hills,Los Angeles,20299,7.8,2602.4
Alameda,Alameda,78280,10.45,7490.9
Albany,Alameda,20271,1.79,11324.6
Alhambra,Los Angeles,82868,7.63,10860.8
Aliso Viejo,Orange,52176,6.93,7529
Alturas,Modoc,2715,2.84,956
Amador City,Amador,200,0.31,645.2
American Canyon,Napa,21837,6.09,3585.7
Anaheim,Orange,346824,50.27,6899.2
Anderson,Shasta,11323,7.03,1610.7
Angels Camp,Calaveras,3667,3.63,1010.2
Antioch,Contra Costa,115291,29.17,3952.4
Apple Valley,San Bernardino,75791,77.01,984.2
Arcadia,Los Angeles,56681,10.93,5185.8
Arcata,Humboldt,18857,9.42,2001.8
Arroyo Grande,San Luis Obispo,18441,5.94,3104.5
Artesia,Los Angeles,16395,1.62,10120.4
Arvin,Kern,19495,4.82,4044.6
Atascadero,San Luis Obispo,29773,26.07,1142
Atherton,San Mateo,7188,5.02,1431.9
Atwater,Merced,31970,6.57,4866.1
Auburn,Placer,13776,7.18,1918.7
Avalon,Los Angeles,3460,2.89,1197.2
Avenal,Kings,13696,19.48,703.1
Azusa,Los Angeles,50000,9.66,5176
Bakersfield,Kern,403455,149.78,2693.7
Baldwin Park,Los Angeles,72176,6.63,10886.3
Banning,Riverside,29505,23.24,1269.6
Barstow,San Bernardino,25415,41.3,615.4
Beaumont,Riverside,53036,30.32,1749.2
Bell,Los Angeles,33559,2.51,13370.1
Bell Gardens,Los Angeles,39501,2.46,16057.3
Bellflower,Los Angeles,79190,6.12,12939.5
Belmont,San Mateo,28335,4.63,6119.9
Belvedere Tiburon,Marin,11272,5,2254.4
Benicia,Solano,27131,12.81,2118
Berkeley,Alameda,124321,10.43,11919.6
Beverly Hills,Los Angeles,32701,5.71,5727
Big Bear Lake,San Bernardino,5046,6.24,808.7
Biggs,Butte,1964,0.9,2182.2
Bishop,Inyo,3819,1.86,2053.2
Blue Lake,Humboldt,1208,0.59,2047.5
Blythe,Riverside,18317,26.58,689.1
Bradbury,Los Angeles,921,1.96,469.9
Brawley,Imperial,26416,8.12,3253.2
Brea,Orange,47325,12.17,3888.7
Brentwood,Contra Costa,64292,14.87,4323.6
Brisbane,San Mateo,4851,2.99,1622.4
Buellton,Santa Barbara,5161,1.58,3266.5
Buena Park,Orange,84034,10.53,7980.4
Burbank,Los Angeles,107337,17.32,6197.3
Burlingame,San Mateo,31386,4.39,7149.4
Calabasas,Los Angeles,23241,13.71,1695.2
Calexico,Imperial,38633,8.62,4481.8
California City,Kern,14973,203.61,73.5
Calimesa,Riverside,10026,14.86,674.7
Calipatria,Imperial,6515,3.7,1760.8
Calistoga,Napa,5228,2.58,2026.4
Camarillo,Ventura,70741,19.69,3592.7
Campbell,Santa Clara,43959,6.08,7230.1
Canyon Lake,Riverside,11082,3.92,2827
Capitola,Santa Cruz,9938,1.59,6250.3
Carlsbad,San Diego,114746,37.77,3038
Carmel-by-the-Sea,Monterey,3220,1.06,3037.7
Carpinteria,Santa Barbara,13264,2.59,5121.2
Carson,Los Angeles,95558,18.73,5101.9
Cathedral City,Riverside,51493,22.49,2289.6
Ceres,Stanislaus,49302,9.5,5189.7
Cerritos,Los Angeles,49578,8.73,5679
Chico,Butte,101475,34.14,2972.3
Chino,San Bernardino,91403,29.61,3086.9
Chino Hills,San Bernardino,78411,44.65,1756.1
Chowchilla,Madera,19039,11.09,1716.8
Chula Vista,San Diego,275487,49.64,5549.7
Citrus Heights,Sacramento,87583,14.22,6159.1
Claremont,Los Angeles,37266,13.34,2793.6
Clayton,Contra Costa,11070,3.84,2882.8
Clearlake,Lake,16685,10.13,1647.1
Cloverdale,Sonoma,8996,3.14,2865
Clovis,Fresno,120124,25.42,4725.6
Coachella,Riverside,41941,30.08,1394.3
Coalinga,Fresno,17590,6.85,2567.9
Colfax,Placer,1995,1.41,1414.9
Colma,San Mateo,1507,1.89,797.4
Colton,San Bernardino,53909,15.55,3466.8
Colusa,Colusa,6411,3.42,1874.6
Commerce,Los Angeles,12378,6.53,1895.6
Compton,Los Angeles,95740,10.03,9545.4
Concord,Contra Costa,125410,30.55,4105.1
Corcoran,Kings,22339,7.46,2994.5
Corning,Tehama,8244,3.55,2322.3
Corona,Riverside,157136,39.94,3934.3
Coronado,San Diego,20192,7.81,2585.4
Corte Madera,Marin,10222,3.16,3234.8
Costa Mesa,Orange,111918,15.81,7078.9
Cotati,Sonoma,7584,1.87,4055.6
Covina,Los Angeles,51268,7.04,7282.4
Crescent City,Del Norte,6673,1.96,3404.6
Cudahy,Los Angeles,22811,1.18,19331.4
Culver City,Los Angeles,40779,5.11,7980.2
Cupertino,Santa Clara,60381,11.33,5329.3
Cypress,Orange,50151,6.61,7587.1
Daly City,San Mateo,104901,7.64,13730.5
Dana Point,Orange,33107,6.49,5101.2
Danville,Contra Costa,43582,18.08,2410.5
Davis,Yolo,66850,9.97,6705.1
Del Mar,San Diego,3954,1.72,2298.8
Del Rey Oaks,Monterey,1592,1.05,1516.2
Delano,Kern,51428,14.72,3493.8
Desert Hot Springs,Riverside,32512,30.27,1074.1
Diamond Bar,Los Angeles,55072,14.87,3703.6
Dinuba,Tulare,24563,6.51,3773.1
Dixon,Solano,18988,7.1,2674.4
Dorris,Siskiyou,860,0.7,1228.6
Dos Palos,Merced,5798,1.35,4294.8
Downey,Los Angeles,114355,12.41,9214.7
Duarte,Los Angeles,21727,6.71,3238
Dublin,Alameda,72589,15.23,4766.2
Dunsmuir,Siskiyou,1707,1.6,1066.9
East Palo Alto,San Mateo,30034,2.53,11871.1
Eastvale,Riverside[11],69757,12.67,5505.7
El Cajon,San Diego,106215,14.51,7320.1
El Centro,Imperial,44322,11.84,3743.4
El Cerrito,Contra Costa,25962,3.67,7074.1
El Monte,Los Angeles,109450,9.56,11448.7
El Segundo,Los Angeles,17272,5.46,3163.4
Elk Grove,Sacramento,176124,41.99,4194.4
Emeryville,Alameda,12905,1.27,10161.4
Encinitas,San Diego,62007,19.06,3253.3
Escalon,San Joaquin,7472,2.28,3277.2
Escondido,San Diego,151038,37.35,4043.9
Etna,Siskiyou,678,0.76,892.1
Eureka,Humboldt,26512,9.54,2779
Exeter,Tulare,10321,2.46,4195.5
Fairfax,Marin,7605,2.23,3410.3
Fairfield,Solano,119881,41.59,2882.4
Farmersville,Tulare,10397,2.2,4725.9
Ferndale,Humboldt,1398,1.2,1165
Fillmore,Ventura,16419,3.3,4975.5
Firebaugh,Fresno,8096,3.52,2300
Folsom,Sacramento,80454,27.88,2885.7
Fontana,San Bernardino,208393,43.07,4838.5
Fort Bragg,Mendocino,6983,2.9,2407.9
Fort Jones,Siskiyou,695,0.6,1158.3
Fortuna,Humboldt,12516,5.25,2384
Foster City,San Mateo,33805,3.79,8919.5
Fountain Valley,Orange,57047,9.07,6289.6
Fowler,Fresno,6700,2.53,2648.2
Fremont,Alameda,230504,78.31,2943.5
Fresno,Fresno,542107,115.18,4706.6
Fullerton,Orange,143617,22.42,6405.8
Galt,Sacramento,25383,7.15,3550.1
Garden Grove,Orange,171949,17.96,9574
Gardena,Los Angeles,61027,5.83,10467.8
Gilroy,Santa Clara,59520,16.54,3598.5
Glendale,Los Angeles,196543,30.48,6448.3
Glendora,Los Angeles,52558,19.51,2693.9
Goleta,Santa Barbara,32690,7.85,4164.3
Gonzales,Monterey,8647,1.91,4527.2
Grand Terrace,San Bernardino,13150,3.5,3757.1
Grass Valley,Nevada,14016,5.25,2669.7
Greenfield,Monterey,18937,2.91,6507.6
Gridley,Butte,7421,2.09,3550.7
Grover Beach,San Luis Obispo,12701,2.31,5498.3
Guadalupe,Santa Barbara,8057,1.31,6150.4
Gustine,Merced,6110,1.55,3941.9
Half Moon Bay,San Mateo,11795,6.24,1890.2
Hanford,Kings,57990,17.4,3332.8
Hawaiian Gardens,Los Angeles,14149,0.95,14893.7
Hawthorne,Los Angeles,88083,6.09,14463.5
Hayward,Alameda,162954,45.82,3556.4
Healdsburg,Sonoma,11340,4.42,2565.6
Hemet,Riverside,89833,29.28,3068.1
Hercules,Contra Costa,26016,6.41,4058.7
Hermosa Beach,Los Angeles,19728,1.43,13795.8
Hesperia,San Bernardino,99818,72.68,1373.4
Hidden Hills,Los Angeles,1725,1.69,1020.7
Highland,San Bernardino,56999,18.57,3069.4
Hillsborough,San Mateo,11387,6.17,1845.5
Hollister,San Benito,41678,7.96,5235.9
Holtville,Imperial,5605,1.15,4873.9
Hughson,Stanislaus,7481,1.91,3916.8
Huntington Beach,Orange,198711,27,7359.7
Huntington Park,Los Angeles,54883,3.01,18233.6
Huron,Fresno,6206,1.6,3878.8
Imperial,Imperial,20263,6.29,3221.5
Imperial Beach,San Diego,26137,4.29,6092.5
Indian Wells,Riverside,4757,14.32,332.2
Indio,Riverside,89137,33.23,2682.4
Industry,Los Angeles,264,11.78,22.4
Inglewood,Los Angeles,107762,9.07,11881.1
Ione,Amador,5141,4.58,1122.5
Irvine,Orange,307670,65.61,4689.4
Irwindale,Los Angeles,1472,8.83,166.7
Isleton,Sacramento,794,0.44,1804.5
Jackson,Amador,5019,3.58,1402
Jurupa Valley,Riverside,105053,42.94,2446.5
Kentfield,Marin,7020,3.03,2320.7
Kerman,Fresno,16016,3.27,4897.9
King City,Monterey,13332,3.8,3508.4
Kingsburg,Fresno,12380,3.72,3328
La Cañada Flintridge,Los Angeles,20573,8.63,2383.9
La Habra,Orange,63097,7.56,8346.2
La Habra Heights,Los Angeles,5682,6.16,922.4
La Mesa,San Diego,61121,9.09,6724
La Mirada,Los Angeles,48008,7.82,6139.1
La Palma,Orange,15581,1.78,8753.4
La Puente,Los Angeles,38062,3.48,10937.4
La Quinta,Riverside,37558,35.26,1065.2
La Verne,Los Angeles,31334,8.42,3721.4
Lafayette,Contra Costa,25391,15.02,1690.5
Laguna Beach,Orange,23032,8.89,2590.8
Laguna Hills,Orange,31374,6.55,4789.9
Laguna Niguel,Orange,64355,14.74,4366
Laguna Woods,Orange,17644,3.34,5282.6
Lake Elsinore,Riverside,70265,38.24,1837.5
Lake Forest,Orange,85858,16.71,5138.1
Lakeport,Lake,5026,3.06,1642.5
Lakewood,Los Angeles,82496,9.4,8776.2
Lancaster,Los Angeles,173516,94.27,1840.6
Larkspur,Marin,13064,3,4354.7
Lathrop,San Joaquin,28701,19.83,1447.4
Lawndale,Los Angeles,31807,1.97,16145.7
